Cote,Titre,Auteur,Lieu,Edition,Annee,Nb_pages,Matiere,Inventaire,Auteur_Pairs,Auteur_Names,language,notice_key,is_duplicate_row,is_duplicate_inventory,is_duplicate_notice
961.1/03,المسألة التونسية والسياسة العثمانية 1981-1913,"تشايجي, عبد الرحمن",تونس,دار الكتب الشرقية,1973,329,تاريخ تونس,7893,"[('تشايجي, عبد الرحمن', 'Auteur')]","تشايجي, عبد الرحمن",ara,"المسألة التونسية والسياسة العثمانية 1981-1913|تشايجي, عبد الرحمن|1973",False,False,False
82.091/73,البنى النحوية,"تشومسكي, نعوم",الدارالبيضاء,منشورات عيون,1987,158,النحو العربي,18432,"[('تشومسكي, نعوم', 'Auteur')]","تشومسكي, نعوم",ara,"البنى النحوية|تشومسكي, نعوم|1987",False,True,False
396/05,المرأة الأمريكية: أدوارها الإجتماعية والإقتصادية والسياسية 1920 - 1970,"تشيف, وليام ه",بغداد,مؤسسة سجل العرب,1979,147,المرأة,11057,"[('تشيف, وليام ه', 'Auteur')]","تشيف, وليام ه",ara,"المرأة الأمريكية: أدوارها الإجتماعية والإقتصادية والسياسية 1920 - 1970|تشيف, وليام ه|1979",False,False,False
69/02 ج2,القيادة العامة للجيش والقوات المسلحة,تصميم وتنفيذ المنئآت النفقية. الجزء الثاني,دمشق,,1984,327,أعمال البناء,14503,"[('تصميم وتنفيذ المنئآت النفقية. الجزء الثاني', 'Auteur')]",تصميم وتنفيذ المنئآت النفقية. الجزء الثاني,ara,القيادة العامة للجيش والقوات المسلحة|تصميم وتنفيذ المنئآت النفقية. الجزء الثاني|1984,False,False,False
69/02 ج1,القيادة العامة للجيش والقوات المسلحة,تصميم وتنفيذ المنشآت النفقية. الجزء الأول,دمشق,,1984,372,أعمال البناء,14502,"[('تصميم وتنفيذ المنشآت النفقية. الجزء الأول', 'Auteur')]",تصميم وتنفيذ المنشآت النفقية. الجزء الأول,ara,القيادة العامة للجيش والقوات المسلحة|تصميم وتنفيذ المنشآت النفقية. الجزء الأول|1984,False,False,False
1/71,مكتبة الفلاح,تطور الفكر الغربي: رؤية نقدية,الكويت,,1987,522,فلسفة,21084,"[('تطور الفكر الغربي: رؤية نقدية', 'Auteur')]",تطور الفكر الغربي: رؤية نقدية,ara,مكتبة الفلاح|تطور الفكر الغربي: رؤية نقدية|1987,False,False,False
620.9/02,منظمة الأقطار العربية المصدرة للبترول,تطورات الطاقة: استهلاك - سياسات - مصادر,الكويت,,1978,80,الطاقة,12647,"[('تطورات الطاقة: استهلاك - سياسات - مصادر', 'Auteur')]",تطورات الطاقة: استهلاك - سياسات - مصادر,ara,منظمة الأقطار العربية المصدرة للبترول|تطورات الطاقة: استهلاك - سياسات - مصادر|1978,False,False,False
371/37,مكتب التربية العربي لدول الخليج,تعليم المواطن الامريكي من أجل المستقبل مقتضيات القرن الحادي والعشرين,الرياض,,1987,133,التربية والتعليم,18017,"[('تعليم المواطن الامريكي من أجل المستقبل مقتضيات القرن الحادي والعشرين', 'Auteur')]",تعليم المواطن الامريكي من أجل المستقبل مقتضيات القرن الحادي والعشرين,ara,مكتب التربية العربي لدول الخليج|تعليم المواطن الامريكي من أجل المستقبل مقتضيات القرن الحادي والعشرين|1987,False,False,True
371/37 مكرر,مكتب التربية العربي لدول الخليج,تعليم المواطن الامريكي من أجل المستقبل مقتضيات القرن الحادي والعشرين,الرياض,,1987,133,التربية والتعليم,18018,"[('تعليم المواطن الامريكي من أجل المستقبل مقتضيات القرن الحادي والعشرين', 'Auteur')]",تعليم المواطن الامريكي من أجل المستقبل مقتضيات القرن الحادي والعشرين,ara,مكتب التربية العربي لدول الخليج|تعليم المواطن الامريكي من أجل المستقبل مقتضيات القرن الحادي والعشرين|1987,False,False,True
331.1_64/05,تطور الحركة العمالية في المغرب,"تفاسكا, أحمد",بيروت,دار ابن خلدون,1980,206,القانون الاجتماعي,7828,"[('تفاسكا, أحمد', 'Auteur')]","تفاسكا, أحمد",ara,"تطور الحركة العمالية في المغرب|تفاسكا, أحمد|1980",False,False,False
